month_number,month_label,rows,bias,mae,rmse,residual_std,interval_coverage,average_interval_width
1,Jan,18518.0,1.7586,8.7947,54.6394,54.6125,0.77,13.5168
2,Feb,16695.0,2.0158,7.8211,51.8528,51.8151,0.7817,12.6468
3,Mar,12809.0,1.0414,8.4697,41.9438,41.9325,0.7334,15.5969
4,Apr,17948.0,1.156,6.0875,45.3704,45.357,0.8402,12.1038
5,May,17314.0,1.2019,6.6919,44.6378,44.6229,0.7788,11.4614
6,Jun,17529.0,1.9055,6.5882,50.1083,50.0735,0.8432,12.3097
7,Jul,17377.0,3.0967,7.6905,59.3714,59.2923,0.7822,9.3672
8,Aug,17692.0,2.1732,6.033,51.2475,51.2029,0.8034,8.6549
9,Sep,14009.0,2.5696,7.4331,60.1458,60.093,0.7944,7.0247
10,Oct,17343.0,0.8743,5.594,46.7872,46.7804,0.8138,8.3568
11,Nov,17523.0,0.8317,5.8335,46.2063,46.2001,0.8909,12.6233
12,Dec,17552.0,1.2758,5.8381,42.5212,42.5032,0.8168,10.8648
